SubjectID,Condition,TravelType,Level,Duration_1,Duration_2
0,0,0,1,20.4843,16.65619
0,0,1,1,31.70258,28.76801
0,0,2,1,8.375397,9.709534
0,0,0,2,20.2489,14.17377
0,0,1,2,67.36301,70.2085
0,0,2,2,8.955109,8.56842
0,0,0,3,17.31039,16.23584
0,0,1,3,65.66391,73.95221
0,0,2,3,12.8409,25.74524
1,1,0,1,35.94031,15.65533
1,1,1,1,43.6694,39.85889
1,1,2,1,26.46561,24.96429
1,1,0,2,24.65817,13.85352
1,1,1,2,62.66562,116.2869
1,1,2,2,51.5538,24.50391
1,1,0,3,18.70399,29.44867
1,1,1,3,88.7426,93.11078
1,1,2,3,25.24058,24.40381
2,0,0,1,10.2222,13.974
2,0,1,1,28.8862,22.54199
2,0,2,1,14.39209,9.929749
2,0,0,2,9.582108,10.7511
2,0,1,2,58.66769,50.16888
2,0,2,2,10.99411,18.91803
2,0,0,3,8.1017,11.87195
2,0,1,3,55.4295,53.0918
2,0,2,3,18.2639,8.80896
3,1,0,1,19.98901,16.396
3,1,1,1,54.8898,29.12903
3,1,2,1,2.142151,24.76428
3,1,0,2,29.7037,16.53601
3,1,1,2,82,62.82129
3,1,2,2,30.3075,30.16895
3,1,0,3,29.8436,22.34204
3,1,1,3,84.02191,78.27631
3,1,2,3,34.04129,27.74695
4,0,0,1,9.982208,9.949707
4,0,1,1,26.0455,22.06158
4,0,2,1,8.555298,8.415375
4,0,0,2,9.081894,9.208984
4,0,1,2,50.39899,48.90765
4,0,2,2,9.035004,22.33438
4,0,0,3,12.76271,9.809448
4,0,1,3,51.3118,50.19238
4,0,2,3,8.975098,10.69037
5,1,0,1,18.10999,16.05554
5,1,1,1,34.86081,20.17975
5,1,2,1,35.9751,27.5069
5,1,0,2,18.13411,16.617
5,1,1,2,72.1004,58.87744
5,1,2,2,31.6709,31.59094
5,1,0,3,19.8842,16.25549
5,1,1,3,69.5936,53.07184
5,1,2,3,27.92459,24.44379
6,0,0,1,8.975098,20.44
6,0,1,1,28.6862,28.44781
6,0,2,1,25.1062,15.43506
6,0,0,2,7.835693,8.408203
6,0,1,2,67.45409,61.6001
6,0,2,2,15.73138,19.89935
6,0,0,3,10.84239,11.57129
6,0,1,3,65.64389,72.91113
6,0,2,3,17.25052,16.9165
7,1,0,1,17.05069,17.59723
7,1,1,1,38.2281,22.72217
7,1,2,1,15.5715,15.4751
7,1,0,2,12.13339,14.25391
7,1,1,2,62.12592,48.5874
7,1,2,2,13.4126,14.33398
7,1,0,3,14.263,15.03461
7,1,1,3,58.74771,52.71136
7,1,2,3,14.63199,14.47406
8,0,0,1,10.83401,9.794617
8,0,1,1,24.22519,23.08264
8,0,2,1,8.955109,6.864685
8,0,0,2,7.415894,7.407227
8,0,1,2,53.5714,48.76758
8,0,2,2,7.695709,7.335999
8,0,0,3,7.216003,6.045898
8,0,1,3,57.64629,50.74945
8,0,2,3,9.274902,7.135986
9,1,0,1,17.79022,18.99847
9,1,1,1,18.5098,16.41602
9,1,2,1,15.61139,12.07178
9,1,0,2,13.57251,14.53424
9,1,1,2,52.98759,44.12311
9,1,2,2,16.371,13.53314
9,1,0,3,13.8324,12.49207
9,1,1,3,47.6738,53.11176
9,1,2,3,17.61032,17.07672
10,0,0,1,16.431,11.8735
10,0,1,1,20.46872,21.56097
10,0,2,1,10.35559,9.849548
10,0,0,2,14.1322,17.29688
10,0,1,2,44.72951,47.90668
10,0,2,2,13.53259,10.3501
10,0,0,3,14.05222,13.29291
10,0,1,3,53.19141,53.35205
10,0,2,3,13.4126,10.93481
11,1,0,1,23.2027,18.71851
11,1,1,1,28.66513,31.81091
11,1,2,1,25.20609,22.94202
11,1,0,2,21.2207,13.453
11,1,1,2,87.61191,53.23193
11,1,2,2,22.36194,22.422
11,1,0,3,32.63177,17.91699
11,1,1,3,96.38699,63.00098
11,1,2,3,26.32568,26.44604
12,0,0,1,12.95291,10.8941
12,0,1,1,23.80688,22.66211
12,0,2,1,8.781891,7.467163
12,0,0,2,10.1944,11.13391
12,0,1,2,54.11029,50.82959
12,0,2,2,8.621796,9.329102
12,0,0,3,8.515289,10.95401
12,0,1,3,58.1524,54.43311
12,0,2,3,9.174896,11.27798
15,1,0,1,30.68988,17.27698
15,1,1,1,38.61737,65.58411
15,1,2,1,23.94336,20.56104
15,1,0,2,16.51605,23.08301
15,1,1,2,162.2984,94.83301
15,1,2,2,29.40381,23.703
15,1,0,3,27.80701,18.63806
15,1,1,3,161.7378,99.297
15,1,2,3,31.31061,31.83105
16,0,0,1,16.4035,17.41711
16,0,1,1,24.78641,25.5249
16,0,2,1,19.4693,11.79089
16,0,0,2,11.29382,22.9024
16,0,1,2,53.93039,56.4151
16,0,2,2,22.68489,10.44995
16,0,0,3,15.27161,20.68011
16,0,1,3,56.00922,56.91571
16,0,2,3,25.32539,11.771
17,1,0,1,22.16782,17.91699
17,1,1,1,31.45068,31.37061
17,1,2,1,31.1228,25.66492
17,1,0,2,21.90802,18.07764
17,1,1,2,72.27051,66.84521
17,1,2,2,31.36279,34.87402
17,1,0,3,18.1301,26.66595
17,1,1,3,81.0954,61.18024
17,1,2,3,30.6908,27.927
18,0,0,1,8.361801,10.27002
18,0,1,1,24.45879,22.58499
18,0,2,1,12.5627,13.31287
18,0,0,2,15.88339,7.627441
18,0,1,2,50.19241,51.0719
18,0,2,2,9.962097,9.449158
