SubjectID,Condition,TravelType,#Pass,Time
0,0,0,2,39.73825
0,0,1,2,61.87653
0,0,2,2,55.3918
1,1,0,2,52.10119
1,1,1,2,126.7046
1,1,2,2,84.09181
2,0,0,2,24.22055
2,0,1,2,45.51599
2,0,2,2,42.35889
3,1,0,2,57.78125
3,1,1,2,117.8223
3,1,2,2,97.01331
4,0,0,2,22.28051
4,0,1,2,47.33625
4,0,2,2,42.07736
5,1,0,2,35.12081
5,1,1,2,79.65207
5,1,2,2,73.1757
6,0,0,2,43.44099
6,0,1,2,59.41138
6,0,2,2,58.7315
7,1,0,2,27.96064
7,1,1,2,66.64929
7,1,2,2,57.87241
8,0,0,2,16.74038
8,0,1,2,40.7763
8,0,2,2,32.13526
9,1,0,2,36.86084
9,1,1,2,57.41043
9,1,2,2,70.59509
10,0,0,2,25.06057
10,0,1,2,36.53864
10,0,2,2,43.07359
11,1,0,2,44.3596
11,1,1,2,105.1032
11,1,2,2,67.8309
12,0,0,2,21.54049
12,0,1,2,54.41499
12,0,2,2,49.4619
15,1,0,2,64.42126
15,1,1,2,284.7007
15,1,2,2,73.83942
16,0,0,2,36.34076
16,0,1,2,52.57443
16,0,2,2,64.7862
17,1,0,2,50.72075
17,1,1,2,72.17354
17,1,2,2,87.3587
18,0,0,2,26.68061
18,0,1,2,43.47513
18,0,2,2,37.15829
19,1,0,2,44.12101
19,1,1,2,64.21113
19,1,2,2,75.15601
20,0,0,2,29.55968
20,0,1,2,41.53304
20,0,2,2,84.9782
22,0,0,2,22.12051
22,0,1,2,48.01527
22,0,2,2,38.0982
23,1,0,2,40.09996
23,1,1,3,315.2244
23,1,2,3,265.0714
24,0,0,2,20.62047
24,0,1,2,66.93029
24,0,2,2,56.31209
25,1,0,2,39.0409
25,1,1,2,78.55338
25,1,2,2,114.7543
26,0,0,2,21.44049
26,0,1,2,58.81217
26,0,2,2,47.1469
27,1,0,2,51.03932
27,1,1,2,138.0306
27,1,2,3,142.5451
28,1,0,2,65.25645
28,1,1,2,129.2156
28,1,2,2,87.46861
29,0,0,2,32.16068
29,0,1,2,47.39616
29,0,2,2,58.96111
30,1,0,2,49.31861
30,1,1,2,143.0731
30,1,2,2,73.71449
