SubjectID,Condition,Level,DistanceToGoal_1,OverShot_1,SheerOff_1,DistanceToGoal_2,OverShot_2,SheerOff_2
0,0,1,35.64006,32.39857,-14.8508,38.27694,35.91039,0
0,0,2,4.991327,0.270195,9.16E-05,14.1636,12.03326,-7.47049
0,0,3,31.81503,23.02533,-9.16E-05,2.846217,-0.9008591,2.69989
1,1,1,8.502708,8.449651,0.9483948,4.406436,0.447073,0
1,1,2,6.93837,3.736379,0,1.648017,0.144238,1.641693
1,1,3,8.834998,-0.01120806,0,3.560743,-0.819276,3.46521
2,0,1,4.465902,4.369968,0,4.085766,0.535611,0
2,0,2,3.150743,0.366942,-3.129303,5.460392,3.501028,4.190308
2,0,3,1.985513,-0.08474398,0,2.462868,-0.4418299,2.422913
3,1,1,2.297231,0.487944,0,6.653225,1.08654,9.16E-05
3,1,2,2.141049,0.208329,-2.13089,1.742396,0.195309,1.731415
3,1,3,1.065215,-0.8439839,0,2.913133,-0.3410778,-2.893097
4,0,1,18.90667,0.619712,0,7.902941,5.024579,-6.100006
4,0,2,5.300885,0.2298629,0,9.569937,9.290575,9.16E-05
4,0,3,10.36975,-0.8700509,-10.33319,1.57056,-0.4136569,-1.515106
5,1,1,7.16315,5.715756,0,1.794621,0.4960541,-1.724701
5,1,2,17.07663,13.31841,0,1.429191,0.1893289,0
5,1,3,6.045843,-0.796824,-5.993103,0.84382,-0.757046,0.3727112
6,0,1,1.875578,0.424122,-1.826996,1.146329,0.714642,0.8963013
6,0,2,2.490247,2.450002,0,9.392986,1.84201,9.210602
6,0,3,18.57087,-0.6208429,0,4.061946,0.418653,0
7,1,1,7.777695,7.527486,-1.956909,1.143046,1.14297,0.01321411
7,1,2,0.6689182,0.200724,0,1.208227,0.7269231,-0.9650879
7,1,3,1.904156,-0.8524261,0,0.2735283,-0.2732,0
8,0,1,6.691191,1.116326,-6.597412,2.367006,2.303788,9.16E-05
8,0,2,1.587232,0.376629,0,1.887969,1.492604,-1.156097
8,0,3,7.865956,7.839004,0,6.521019,2.227152,-6.128906
9,1,1,4.827198,0.522019,4.798889,0.655619,0.556138,0
9,1,2,4.549685,0.9373128,0,6.20123,1.884002,5.908112
9,1,3,1.915187,-0.7805661,0,1.491944,-0.822722,-1.244598
10,0,1,4.640796,0.516189,-4.612,2.412058,0.5401549,0
10,0,2,1.394691,0.07275093,0,9.353545,0.1012599,0
10,0,3,3.080419,-0.8285849,0,1.004893,-0.9486781,0.3313904
11,1,1,2.489183,0.5060769,2.437195,1.152984,0.501495,0
11,1,2,0.225545,0.1997679,0,3.932122,0.208215,3.926605
11,1,3,5.085859,-0.812126,0,2.387075,-0.8449911,2.232513
12,0,1,3.282147,1.002762,9.16E-05,10.88389,4.77787,9.779114
12,0,2,5.762002,0.156056,5.759888,2.623465,0.122457,0
12,0,3,6.666059,6.550189,-0.00012207,14.04558,7.956991,11.57431
15,1,1,16.65741,12.66248,0,0.5148361,0.432433,-0.2793884
15,1,2,9.210682,0.9993161,0,3.344381,0.146131,3.341187
15,1,3,0.8387462,-0.838716,0.007110596,7.385065,-0.9568509,0
16,0,1,2.017067,0.4680749,-1.962006,1.974949,0.514335,0
16,0,2,1.151045,0.319851,0,7.516049,6.434178,-3.884888
16,0,3,12.81549,-0.8158509,0,2.664375,-0.817032,2.536011
17,1,1,2.756887,1.57588,2.262085,2.68916,0.4988461,0
17,1,2,6.960099,2.121458,0,1.776675,0.204278,1.764893
17,1,3,4.460946,3.583136,0,2.425081,-0.7585111,2.303406
18,0,1,7.508704,0.537926,7.48941,3.549166,1.725476,0
18,0,2,16.52175,5.630026,0,14.66452,2.512954,14.4476
18,0,3,4.344654,3.87474,0,10.81536,4.811166,9.68631
19,1,1,3.331825,0.4979661,-3.294403,1.428211,0.489251,0
19,1,2,4.01612,0.177249,0,3.538389,0.207706,-3.532288
19,1,3,8.245768,-0.7945551,0,1.427424,-0.8178599,-1.169891
20,0,1,0.4368914,0.4007421,0,1.212247,0.414975,0
20,0,2,1.430474,0.09694505,-1.427185,1.607435,0.31987,-1.575287
20,0,3,1.33006,-0.9200429,0,1.843274,-0.8659601,1.627197
22,0,1,6.278802,3.064773,0,0.4341486,0.4227819,0.09869385
22,0,2,5.734169,0.6757389,0,2.174506,0.130397,0
22,0,3,4.290449,2.005673,-3.792786,2.973031,-0.904142,2.832214
23,1,1,0.6650793,0.473049,-0.4674988,12.41051,0.755154,0
23,1,2,1.606766,0.381112,1.560913,10.17496,0.2415631,10.17209
23,1,3,0.8993494,-0.8238531,0,3.241847,-0.848582,0
24,0,1,2.730246,0.5141569,-2.681396,1.049367,0.412253,0.9649963
24,0,2,0.3618287,0.201988,0,0.8566444,0.105705,-0.8500977
24,0,3,0.9079279,-0.90587,0,1.407942,-0.909708,0
25,1,1,20.50593,1.056465,20.4787,11.53876,0.836599,-11.50839
25,1,2,13.595,0.2716279,0,12.13937,0.255231,12.13669
25,1,3,8.733907,0.7965209,0,14.45616,-0.7245551,0
26,0,1,6.410113,2.726168,-5.801514,9.2004,8.930729,0
26,0,2,7.061773,3.379149,0,4.60266,0.41623,-4.583801
26,0,3,2.476102,-0.8110379,0,5.819806,3.570548,4.595795
27,1,1,31.26004,29.28937,0,7.708944,3.938542,-6.626892
27,1,2,7.787691,0.208028,0,3.586623,0.261361,0
27,1,3,34.81558,27.13677,21.811,1.039563,-0.868255,0
28,1,1,13.78932,4.362024,13.08121,3.170553,2.611308,1.798187
28,1,2,13.01252,12.91812,0,12.23676,7.539211,0
28,1,3,12.36583,9.549047,9.16E-05,10.53106,9.925186,0
29,0,1,1.700429,0.50409,1.623993,7.600304,0.573789,-0.00012207
29,0,2,2.318983,0.2029099,0,2.514452,0.232356,-2.503693
29,0,3,1.951075,-0.8156549,0,6.447943,-0.528976,-6.426208
30,1,1,14.16236,14.15632,0,0.9334409,0.512426,-0.7802124
30,1,2,7.665592,6.642119,3.826691,11.72868,8.826968,-9.16E-05
30,1,3,9.481462,-0.793364,0,10.28013,6.78456,7.723389
