SubjectID,Condition,Gender,Age,GamingExperience,FPSGameExperience,VRExperience,GoodAtMaze,WalkingEasyResponseTime_1,WalkingEasyResponseTime_2,WalkingMediumResponseTime_1,WalkingMediumResponseTime_2,WalkingHardResponseTime_1,WalkingHardResponseTime_2,SegwayEasyResponseTime_1,SegwayEasyResponseTime_2,SegwayMediumResponseTime_1,SegwayMediumResponseTime_2,SegwayHardResponseTime_1,SegwayHardResponseTime_2,SurfingEasyResponseTime_1,SurfingEasyResponseTime_2,SurfingMediumResponseTime_1,SurfingMediumResponseTime_2,SurfingHardResponseTime_1,SurfingHardResponseTime_2,WalkingAvgResponseTime_1,WalkingAvgResponseTime_2,SegwayAvgResponseTime_1,SegwayAvgResponseTime_2,SurfingAvgResponseTime_1,SurfingAvgResponseTime_2,TotalAvgResponseTime_1,TotalAvgResponseTime_2
0,0,0,35,3,3,1,4,5.881302,1.461548,1.339294,0.4404297,2.178925,2.282166,1.119415,1.501465,1.119415,2.10199,0.4397888,0.980896,1.319214,1.721558,2.098785,2.862793,1.940414,0.6005859,3.133174,1.394714,0.8928731,1.528117,1.786138,1.728312,1.937395,1.550381
1,1,0,32,6,2,1,4,7.495789,1.301208,1.680038,0.5004883,0.8202057,1.821838,0.9402008,1.541504,2.058777,1.219299,0.3801117,1.381409,1.900406,1.101135,2.039665,1.341309,5.68013,1.261169,3.332011,1.207845,1.126363,1.380737,3.206734,1.234538,2.555036,1.274373
2,0,0,18,5,4,4,5,1.200302,1.081055,4.681,0.6409912,2.320496,2.102051,1.000198,2.001892,2.918396,1.521484,1.199402,3.503357,3.737915,5.1651,4.420898,0.6010132,1.6203,4.124023,2.733932,1.274699,1.705999,2.342244,3.259705,3.296712,2.566545,2.304552
3,1,1,19,2,1,1,4,0.01998901,0.02001953,0.6795959,0.1199951,0.02001953,0.5999756,0.01998901,0.02001953,0.0199585,0.0199585,0.0201416,1.72168,0.0199585,0.0201416,0.02001953,0.02001953,1.83902,0.2,0.2398682,0.2466634,0.0200297,0.5872192,0.6263326,0.08005371,0.2954102,0.3046454
4,0,0,20,4,4,1,4,1.680298,1.441406,2.46051,1.681702,1.620392,1.661743,1.100296,1.641602,1.840393,1.361389,2.478607,1.279297,2.03891,2.798401,4.077789,0.7196045,1.119415,1.481384,1.9204,1.59495,1.806432,1.427429,2.412038,1.666463,2.04629,1.562948
5,1,0,21,5,4,2,4,1.299316,2.122131,1.280197,0.8599854,1.180298,0.980896,2.578583,1.941895,1.998901,2.12207,2.298676,2.322205,4.384277,3.403259,2.962891,1.961914,1.339294,1.941895,1.253271,1.321004,2.292053,2.128723,2.895488,2.435689,2.146937,1.961806
6,0,1,22,2,1,1,2,1.499115,0.8607788,0.5997009,2.522461,0.740097,2.262207,4.300903,2.322327,2.060394,1.561462,1.958923,1.501465,1.199402,2.98291,1.61911,2.262329,1.938995,0.940918,0.9463043,1.881816,2.773407,1.795085,1.585836,2.062052,1.768516,1.912984
7,1,0,21,3,2,2,4,0.7795105,0.4804077,0.8594971,0.9009399,0.2,0.9009399,2.280502,0.640625,1.339172,1.060974,1.339203,0.7006836,0.9794006,0.4205322,0.699585,0.940918,0.819519,0.3602905,0.6130025,0.7607625,1.652959,0.8007609,0.8328349,0.5739136,1.032932,0.7118123
8,0,0,20,5,4,1,4,1.279297,5.417084,1.19928,1.541504,3.158295,2.202087,4.200912,4.864685,1.680405,5.14502,0.8802032,3.523438,3.877899,0.699707,1.03949,1.659088,2.538605,2.25882,1.878957,3.053558,2.25384,4.511047,2.485331,1.539205,2.206043,3.034604
9,1,0,20,5,4,1,4,0.07998657,0.0201416,1.379303,0.0401001,2.638519,1.721741,4.217712,1.601563,5.241104,1.861816,1.798981,2.322327,3.678009,2.202087,4.377625,1.261353,3.937897,2.602478,1.365936,0.5939941,3.752599,1.928568,3.997844,2.021973,3.038793,1.514845
