SubjectID,Condition,Gender,Age,GamingExperience,FPSGameExperience,VRExperience,GoodAtMaze,SurfingEasyDistance_1,SurfingEasyDistance_2,SurfingMediumDistance_1,SurfingMediumDistance_2,SurfingHardDistance_1,SurfingHardDistance_2,SurfingAvgDistance_1,SurfingAvgDistance_2
0,0,0,35,3,3,1,4,35.64006,38.27694,4.991327,14.1636,31.81503,2.846217,24.14881,18.42892
1,1,0,32,6,2,1,4,8.502708,4.406436,6.93837,1.648017,8.834998,3.560743,8.092026,3.205065
2,0,0,18,5,4,4,5,4.465902,4.085766,3.150743,5.460392,1.985513,2.462868,3.200719,4.003008
3,1,1,19,2,1,1,4,2.297231,6.653225,2.141049,1.742396,1.065215,2.913133,1.834498,3.769584
4,0,0,20,4,4,1,4,18.90667,7.902941,5.300885,9.569937,10.36975,1.57056,11.52577,6.347813
5,1,0,21,5,4,2,4,7.16315,1.794621,17.07663,1.429191,6.045843,0.84382,10.09521,1.355877
6,0,1,22,2,1,1,2,1.875578,1.146329,2.490247,9.392986,18.57087,4.061946,7.645564,4.867087
7,1,0,21,3,2,2,4,7.777695,1.143046,0.6689182,1.208227,1.904156,0.2735283,3.450256,0.8749338
8,0,0,20,5,4,1,4,6.691191,2.367006,1.587232,1.887969,7.865956,6.521019,5.38146,3.591998
9,1,0,20,5,4,1,4,4.827198,0.655619,4.549685,6.20123,1.915187,1.491944,3.764024,2.782931
10,0,1,20,2,2,1,3,4.640796,2.412058,1.394691,9.353545,3.080419,1.004893,3.038635,4.256833
11,1,1,20,4,4,1,4,2.489183,1.152984,0.225545,3.932122,5.085859,2.387075,2.600196,2.490727
12,0,1,21,4,2,1,4,3.282147,10.88389,5.762002,2.623465,6.666059,14.04558,5.236736,9.184313
15,1,1,21,1,1,1,4,16.65741,0.5148361,9.210682,3.344381,0.8387462,7.385065,8.902278,3.748094
16,0,1,22,4,4,2,3,2.017067,1.974949,1.151045,7.516049,12.81549,2.664375,5.327866,4.051791
17,1,0,21,4,1,1,3,2.756887,2.68916,6.960099,1.776675,4.460946,2.425081,4.725977,2.296972
18,0,1,19,4,3,4,2,7.508704,3.549166,16.52175,14.66452,4.344654,10.81536,9.458367,9.676347
19,1,0,19,3,3,3,3,3.331825,1.428211,4.01612,3.538389,8.245768,1.427424,5.197905,2.131341
20,0,0,-1,5,5,3,2,0.4368914,1.212247,1.430474,1.607435,1.33006,1.843274,1.065808,1.554318
22,0,0,18,4,4,2,4,6.278802,0.4341486,5.734169,2.174506,4.290449,2.973031,5.434473,1.860562
23,1,0,19,5,5,1,4,0.6650793,12.41051,1.606766,10.17496,0.8993494,3.241847,1.057065,8.609104
24,0,1,18,3,2,3,4,2.730246,1.049367,0.3618287,0.8566444,0.9079279,1.407942,1.333334,1.104651
25,1,1,21,2,1,1,3,20.50593,11.53876,13.595,12.13937,8.733907,14.45616,14.27828,12.71143
26,0,1,19,1,1,1,2,6.410113,9.2004,7.061773,4.60266,2.476102,5.819806,5.315996,6.540956
27,1,1,20,1,1,1,2,31.26004,7.708944,7.787691,3.586623,34.81558,1.039563,24.6211,4.11171
28,1,0,21,4,4,1,4,13.78932,3.170553,13.01252,12.23676,12.36583,10.53106,13.05589,8.646127
29,0,1,19,1,1,1,2,1.700429,7.600304,2.318983,2.514452,1.951075,6.447943,1.990162,5.520899
30,1,1,19,1,1,1,5,14.16236,0.9334409,7.665592,11.72868,9.481462,10.28013,10.43647,7.647415
