SubjectID,Condition,Gender,Age,GamingExperience,FPSGameExperience,VRExperience,GoodAtMaze,SegwayEasyRotation_1,SegwayEasyOvershot_1,SegwayEasyRotation_2,SegwayEasyOvershot_2,SegwayMediumRotation_1,SegwayMediumOvershot_1,SegwayMediumRotation_2,SegwayMediumOvershot_2,SegwayHardRotation_1,SegwayHardOvershot_1,SegwayHardRotation_2,SegwayHardOvershot_2,AverageRotation_1,AverageOvershot_1,AverageRotation_2,AverageOvershot_2
0,0,0,35,3,3,1,4,0.0321321,1,0.04333727,1.166667,0.02479878,1,0.0615007,1.5,0.025411,0.75,0.0204497,1.53125,0.0274473,0.9166667,0.04176256,1.399305
1,1,0,32,6,2,1,4,0.01897681,0,0.01561827,0,0.02294577,0.25,0.02244396,0,0.01362889,0.1875,0.007751879,0.03125,0.01851716,0.1458333,0.01527137,0.01041667
2,0,0,18,5,4,4,5,0.04748904,0.9166667,0.04059663,0,0.0256895,0.8125,0.0295982,0.25,0.03316728,0.34375,0.04555929,0.34375,0.03544861,0.6909723,0.03858471,0.1979167
3,1,1,19,2,1,1,4,0.02293858,0.5,0.01690864,0.3333333,0.01309888,0.1875,0.02036038,0.0625,0.01748192,0.09375,0.02662946,0.03125,0.01783979,0.2604167,0.0212995,0.1423611
4,0,0,20,4,4,1,4,0.013596,0.75,0.03325707,0.08333334,0.02423093,0.28125,0.02411028,0.21875,0.02943145,0.375,0.02587589,0.28125,0.02241946,0.46875,0.02774775,0.1944445
5,1,0,21,5,4,2,4,0.006207784,0,0.02067984,0,0.01377027,0,0.0170244,0,0.01605857,0,0.02000294,0,0.01201221,0,0.01923572,0
6,0,1,22,2,1,1,2,0.01119982,3.357143,0.03871407,1.083333,0.02896121,1.5,0.06647187,1.03125,0.04549583,1.3125,0.0390144,1.53125,0.02855229,2.056548,0.04806678,1.215278
7,1,0,21,3,2,2,4,0.005358825,0,0.02292452,0.4166667,0.01713283,0,0.05328921,0.1875,0.02998676,0.375,0.02976979,0.0625,0.0174928,0.125,0.03532784,0.2222222
8,0,0,20,5,4,1,4,0.03775742,1,0.03446743,0.5833333,0.01850426,1.970588,0.07133841,0.625,0.04924297,1.15625,0.02153276,0.78125,0.03516822,1.375613,0.0424462,0.6631944
9,1,0,20,5,4,1,4,0.01941216,0,0.02641465,0,0.009431671,0,0.03267988,0,0.03758017,0.03125,0.02971382,0.0625,0.02214133,0.01041667,0.02960278,0.02083333
