SubjectID,Condition,Gender,Age,GamingExperience,FPSGameExperience,VRExperience,GoodAtMaze,AverageDistanceToWayPointEasy_1,AverageDistanceToPathEasy_1,AverageDistanceToWayPointEasy_2,AverageDistanceToPathEasy_2,AverageDistanceToWayPointMedium_1,AverageDistanceToPathMedium_1,AverageDistanceToWayPointMedium_2,AverageDistanceToPathMedium_2,AverageDistanceToWayPointHard_1,AverageDistanceToPathHard_1,AverageDistanceToWayPointHard_2,AverageDistanceToPathHard_2,AverageDistanceToWayPointTotal_1,AverageDistanceToPathTotal_1,AverageDistanceToWayPointTotal_2,AverageDistanceToPathTotal_2
0,0,0,35,3,3,1,4,15.99921,4.911479,15.93192,6.833824,15.9424,6.795393,16.09586,5.615364,15.75494,6.809352,15.67712,7.359471,15.89885,6.172075,15.90163,6.602886
1,1,0,32,6,2,1,4,15.97688,6.384014,15.93827,5.227228,15.93783,7.376994,16.09173,8.582861,15.73096,8.246626,15.84399,4.537228,15.88189,7.335878,15.958,6.115772
2,0,0,18,5,4,4,5,15.98798,5.994012,15.77699,8.642308,15.79831,10.78447,15.92424,7.420705,15.63756,6.901628,15.76108,7.597215,15.80795,7.89337,15.82077,7.886743
3,1,1,19,2,1,1,4,15.72288,6.798927,15.78107,7.651821,16.00384,4.396896,15.8631,5.059178,15.92031,6.018809,15.99098,7.504035,15.88234,5.738211,15.87838,6.738345
4,0,0,20,4,4,1,4,15.90939,7.992145,15.9112,3.727505,16.04976,4.731673,16.09193,7.321565,15.88731,9.488217,15.69579,6.543294,15.94882,7.404012,15.89964,5.864121
5,1,0,21,5,4,2,4,15.99945,6.633771,15.75183,4.427969,15.82531,8.586971,15.72199,7.043305,15.69249,7.229542,15.90388,10.32018,15.83908,7.483428,15.79257,7.263819
6,0,1,22,2,1,1,2,15.75131,5.475302,16.00733,7.071139,15.49761,10.76163,16.05431,3.854532,15.51077,7.076856,15.60434,5.975639,15.58656,7.771262,15.88866,5.63377
7,1,0,21,3,2,2,4,16.02752,7.289577,15.99274,7.143528,15.78947,7.052086,15.92177,8.154531,15.61828,9.429494,15.73252,8.918931,15.81176,7.923719,15.88235,8.07233
8,0,0,20,5,4,1,4,16.14218,9.096864,16.10077,4.013226,15.89807,6.82085,15.79543,7.175309,15.84591,5.298936,15.77573,5.100043,15.96206,7.072217,15.89064,5.429526
9,1,0,20,5,4,1,4,15.99644,6.461045,15.73705,7.178102,15.90316,5.708939,15.88357,8.041022,15.37968,5.394797,15.59912,5.864829,15.75976,5.854927,15.73992,7.027985
