SubjectID,Condition,Gender,Age,GamingExperience,FPSGameExperience,VRExperience,GoodAtMaze,WalkingEasyRotation_1,WalkingEasyOverRotate_1,WalkingEasyRotation_2,WalkingEasyOverRotate_2,WalkingMediumRotation_1,WalkingMediumOverRotate_1,WalkingMediumRotation_2,WalkingMediumOverRotate_2,WalkingHardRotation_1,WalkingHardOverRotate_1,WalkingHardRotation_2,WalkingHardOverRotate_2,AverageRotation_1,AverageOverRotate_1,AverageRotation_2,AverageOverRotate_2
0,0,0,35,3,3,1,4,0.004933436,0,0.008752078,0,0.009029148,0,0.01057814,0,0.01575951,0.2222222,0.0303581,0.6666667,0.009907365,0.07407407,0.01656277,0.2222222
1,1,0,32,6,2,1,4,0.003857836,0,0.01036181,0,0.01361185,0,0.01428712,0,0.03287261,0.6666667,0.02464054,0.6666667,0.01678076,0.2222222,0.01642982,0.2222222
2,0,0,18,5,4,4,5,0.000345444,0,0.003429462,0,0.000132097,0,0.005674147,0,0.000156488,0,0.002550978,0,0.000211343,0,0.003884862,0
3,1,1,19,2,1,1,4,0.007963855,0,0.00914065,0,0.01610647,0.5714286,0.01293688,0,0.01919073,0.4444444,0.02855764,0.75,0.01442035,0.3386244,0.01687839,0.25
4,0,0,20,4,4,1,4,0.02149322,0.2857143,0.01081685,0,0.02131733,0.2857143,0.005898965,0,0.03254317,0.6666667,0.02108415,0.2222222,0.0251179,0.4126984,0.01259999,0.07407407
5,1,0,21,5,4,2,4,0.008134681,0,0.0219893,0.8,0.02366251,0.5714286,0.0119679,0,0.03002465,0.6666667,0.03271735,0.6666667,0.02060728,0.4126984,0.02222485,0.4888889
6,0,1,22,2,1,1,2,0,0,0.01064261,0.2857143,0,0,0.004258017,0,0,0,0.01382244,0.25,0,0,0.009574356,0.1785714
7,1,0,21,3,2,2,4,0.01182906,0,0.008630676,0,0.02232198,0.2857143,0.00916162,0,0.02132771,0.2222222,0.01833642,0.25,0.01849291,0.1693122,0.01204291,0.08333334
8,0,0,20,5,4,1,4,0.0200172,0.2857143,0.008164162,0,0.007752529,0,0.00881156,0,0.0105893,0,0.0385448,0.4444444,0.01278634,0.0952381,0.01850684,0.1481481
9,1,0,20,5,4,1,4,0.008861501,0,0.009391132,0,0.009572789,0,0.01130358,0,0.01939828,0.25,0.02176116,0.2222222,0.01261086,0.08333334,0.01415196,0.07407407
10,0,1,20,2,2,1,3,0.04370679,1.142857,0.01430776,0,0.0301987,0.5714286,0.03192211,0.5714286,0.04027687,0.6666667,0.07225662,1.555556,0.03806078,0.7936509,0.0394955,0.7089947
11,1,1,20,4,4,1,4,0.006209728,0,0.007510284,0,0.009291745,0,0.008666341,0,0.01689613,0.4444444,0.01584052,0.2222222,0.0107992,0.1481481,0.01067238,0.07407407
12,0,1,21,4,2,1,4,0.03996614,0.7142857,0.009680729,0,0.007587874,0,0.03650514,0.5714286,0.0262392,0.2222222,0.02607649,0.2222222,0.02459774,0.3121693,0.02408745,0.2645503
15,1,1,21,1,1,1,4,0.004551639,0,0.02261231,0.5714286,0.007501839,0,0.01722631,0.2857143,0.03697805,1.333333,0.0161203,0.2222222,0.01634384,0.4444444,0.01865297,0.3597884
16,0,1,22,4,4,2,3,0.02242396,0.5714286,0.00904871,0,0.01053343,0,0.0144881,0.2857143,0.02143215,0.2222222,0.01509555,0.2222222,0.01812984,0.2645503,0.01287745,0.1693122
17,1,0,21,4,1,1,3,0.007503755,0,0.01431558,0.2857143,0.02108803,0.6666667,0.0258971,0.5714286,0.01842441,0.2222222,0.0361784,1.111111,0.01567206,0.2962963,0.02546369,0.6560847
18,0,1,19,4,3,4,2,0.009773298,0,0.001105213,0,0.04444113,1.142857,0.002028308,0,0.02542165,0.4444444,0.003755107,0,0.02654536,0.5291005,0.002296209,0
19,1,0,19,3,3,3,3,0.007608973,0,0.009753745,0,0.009174605,0,0.01012442,0,0.02291789,0.4444444,0.02698897,0.6666667,0.01323382,0.1481481,0.01562237,0.2222222
20,0,0,-1,5,5,3,2,0.01301608,0,0.01373728,0,0.009662547,0,0.04768387,0.8571429,0.03522804,0.6666667,0.02811196,0.5,0.01930222,0.2222222,0.02984437,0.452381
22,0,0,18,4,4,2,4,0.02584426,0.2857143,0.01320782,0,0.02357646,0.2857143,0.02748784,0.2857143,0.01799363,0.2222222,0.01292819,0,0.02247145,0.2645503,0.01787462,0.0952381
23,1,0,19,5,5,1,4,0.01531988,0,0.03446445,1.142857,0.04697152,1,0.05381108,1.142857,0.02454883,0.4444444,0.05325403,1.5,0.02894674,0.4814815,0.04717652,1.261905
24,0,1,18,3,2,3,4,0.009823327,0,0.01012285,0,0.008355789,0,0.007472465,0,0.02347519,0.2222222,0.01220302,0,0.01388477,0.07407407,0.009932776,0
25,1,1,21,2,1,1,3,0.01919482,0.8333333,0.00674372,0,0.01295932,0.2857143,0.00790156,0,0.03251013,1.222222,0.03114603,1.25,0.02155476,0.7804233,0.01526377,0.4166667
26,0,1,19,1,1,1,2,0.01206419,0.2857143,0.001425087,0,0.003717099,0,0.001675523,0,0.003506262,0,0.001953428,0,0.006429182,0.0952381,0.001684679,0
27,1,1,20,1,1,1,2,0.009568474,0,0.01022645,0,0.007068885,0,0.01305826,0,0.02818124,1.333333,0.04126471,1.75,0.01493953,0.4444444,0.02151647,0.5833333
28,1,0,21,4,4,1,4,0.006632791,0,0.006642703,0,0.006266701,0,0.01829097,0.5714286,0.01157458,0.2222222,0.01234547,0.2222222,0.008158024,0.07407407,0.01242638,0.2645503
